draft_year,pick,player,cluster,cluster_label,pca_x,pca_y,age_at_draft,height,weight,wingspan,has_combine,pos,ws_first4,surplus
2001,25,Gerald Wallace,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,19.0,77.75,214.0,82.75,False,SF,4.3,-2.7285714285714295
2001,26,Samuel Dalembert,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,20.0,77.75,214.0,82.75,False,C,11.1,4.426666666666666
2001,27,Jamaal Tinsley,2,small guards,-2.094185438062134,0.43153149404277513,23.0,72.75,199.0,79.5,True,PG,12.6,6.302105263157895
2001,28,Tony Parker,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,19.0,77.75,214.0,82.75,False,PG,27.1,20.45639097744361
2001,30,Trenton Hassell,0,wings/mid-size,-1.0658681569564288,0.15616229273526694,22.0,76.25,205.0,80.0,True,SG,8.100000000000001,3.275438596491229
2001,31,Gilbert Arenas,2,small guards,-1.3969223619844144,-0.04438001862140882,20.0,74.25,199.0,81.5,True,PG,23.3,18.773533834586466
2001,32,Omar Cook,2,small guards,-3.0134955059052206,0.4686101606148714,20.0,71.5,189.0,77.5,True,PG,-0.1,-4.3895238095238085
2001,33,Will Solomon,2,small guards,-2.695214211219884,-0.8223526655801,23.0,71.75,172.0,81.5,True,SG,-0.5,-4.328571428571428
2001,34,Terence Morris,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,23.0,77.75,214.0,82.75,False,SF,1.1,-2.546666666666666
2001,35,Brian Scalabrine,1,bigs,1.2431973296533374,0.795725113671401,23.0,80.75,241.0,81.75,True,PF,4.0,0.00952380952380949
2001,36,Jeff Trepagnier,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,SG,-0.2,-4.634285714285714
2001,37,Damone Brown,0,wings/mid-size,0.4197288574933024,-1.0103884478755194,22.0,80.25,202.0,83.75,True,SF,-0.6000000000000001,-4.9038095238095245
2001,38,Mehmet Okur,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,PF,16.7,12.616190476190475
2001,39,Michael Wright,1,bigs,1.3455376519015403,1.0158389278051665,21.0,79.0,247.0,83.5,True,SG,0.0,-4.023809523809524
2001,40,Earl Watson,2,small guards,-2.812526523003519,0.023833379504293435,22.0,72.0,184.0,78.75,True,PG,7.899999999999999,4.023809523809523
2001,41,Jamison Brewer,2,small guards,-2.061420704741357,-0.824305283922687,21.0,74.5,178.0,80.75,True,SG,-0.0999999999999999,-3.4819047619047616
2001,42,Bobby Simmons,0,wings/mid-size,0.9856703431882362,0.5174144623172573,21.0,78.25,235.0,84.25,True,SF,10.4,7.200952380952382
2001,43,Eric Chenowith,1,bigs,3.9631139985989123,0.3001965668108193,21.0,85.0,264.0,88.0,True,SG,0.0,-3.1457142857142855
2001,44,Kyle Hill,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-2.927619047619048
2001,45,Sean Lampley,0,wings/mid-size,-0.3396483700104104,0.14410703349662624,22.0,77.5,213.0,81.25,True,SF,1.1,-1.599047619047619
2001,46,Loren Woods,1,bigs,3.6847244140446165,-0.6127625628045253,23.0,84.75,246.0,89.5,True,C,2.7,0.23428571428571443
2001,47,Ousmane Cisse,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-2.56
2001,48,Antonis Fotsis,0,wings/mid-size,0.5142285920488963,0.014004482086340225,20.0,81.25,219.0,80.5,True,PF,0.1,-2.2533333333333334
2001,49,Ken Johnson,1,bigs,2.442775157598076,-0.9166089262399598,23.0,82.75,227.0,88.0,True,C,0.0,-2.158095238095238
2001,50,Ruben Boumtje-Boumtje,1,bigs,3.1065598894726736,-0.28048972295544117,23.0,83.5,245.0,88.0,True,C,0.2,-1.7266666666666666
2001,51,Alton Ford,1,bigs,2.1020358786095907,1.9738036887822505,20.0,80.25,271.0,82.5,True,PF,0.8,-0.8295238095238093
2001,52,Andre Hutson,1,bigs,1.5834138512676652,0.6981520759901643,21.0,80.25,244.0,83.75,True,SG,0.0,-1.2276190476190476
2001,53,Jarron Collins,1,bigs,2.6217506670250375,0.4344476869558133,23.0,81.25,252.0,87.0,True,C,9.3,8.363809523809525
2001,54,Kenny Satterfield,2,small guards,-3.227127481246057,-0.11060540412807139,20.0,73.0,176.0,76.5,True,PG,-1.2,-2.026666666666667
2001,55,Maurice Jeffers,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-0.6161904761904762
2001,56,Robertas Javtokas,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-0.6047619047619047
2001,57,Alvin Jones,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,23.0,77.75,214.0,82.75,False,C,0.1,-0.44593837535014014
2001,58,Bryan Bracey,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SG,0.0,-0.7651050420168067
2002,1,Yao Ming,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,C,39.4,21.8015873015873
2002,2,Jay Williams,2,small guards,-2.993916522397735,0.9816206141368621,21.0,72.25,197.0,75.5,True,PG,0.8,-15.844047619047618
2002,3,Mike Dunleavy,0,wings/mid-size,0.6356833869761774,0.5507451442629845,22.0,80.0,230.0,81.0,True,SF,15.8,-0.22666666666666657
2002,4,Drew Gooden,1,bigs,1.360116934200055,-0.16385748724495025,21.0,80.75,227.0,84.5,True,SF,18.7,4.7904761904761894
2002,5,Nikoloz Tskitishvili,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,19.0,77.75,214.0,82.75,False,SF,-1.6,-15.541904761904762
2002,6,Dajuan Wagner,2,small guards,-3.270055356401482,0.967592462269924,19.0,72.75,193.0,74.0,True,SG,-2.775557561562892e-17,-11.733333333333333
2002,7,Nenê,1,bigs,2.924810872121006,0.26236226344135327,20.0,81.25,253.0,88.5,True,C,14.2,2.9590476190476167
2002,8,Chris Wilcox,0,wings/mid-size,1.0924986094917957,-0.5368200005194058,20.0,80.25,218.0,85.0,True,PF,8.9,-1.6971428571428575
2002,9,Amar'e Stoudemire,1,bigs,1.7007979666427906,-0.06504691944707466,20.0,80.5,233.0,85.75,True,PF,25.3,15.333333333333336
2002,10,Caron Butler,0,wings/mid-size,0.2677219654837688,0.22311290361073305,22.0,77.25,222.0,83.5,True,SF,18.8,9.446666666666667
2002,11,Jared Jeffries,1,bigs,1.7183416103741989,-0.2020062947320253,21.0,82.0,230.0,84.5,True,SF,6.6,-3.017142857142858
2002,12,Melvin Ely,1,bigs,2.4178173226904422,-0.1635125716987748,24.0,81.0,240.0,88.0,True,C,3.3,-5.8
2002,13,Marcus Haislip,0,wings/mid-size,1.047070883731885,-0.3049755684074642,22.0,80.5,221.0,84.0,True,PF,0.3999999999999999,-8.17047619047619
2002,14,Fred Jones,0,wings/mid-size,-0.411571070346159,0.37392290441810666,23.0,74.25,218.0,84.0,True,SG,11.4,3.468571428571429
2002,15,Boštjan Nachbar,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,SF,2.5,-4.960952380952381
2002,16,Jiří Welsch,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,23.0,77.75,214.0,82.75,False,SF,5.7,-1.559047619047619
2002,17,Juan Dixon,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,24.0,77.75,214.0,82.75,False,PG,4.7,-2.524761904761905
2002,18,Curtis Borchardt,1,bigs,2.472196379294783,-0.2563690673353046,22.0,82.75,238.0,86.5,True,C,0.9,-6.063809523809523
2002,19,Ryan Humphrey,0,wings/mid-size,0.5522758159120474,0.0967583368268162,23.0,78.0,223.0,84.0,True,PF,-0.4,-8.235238095238095
