draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2018,55,Arnoldas Kulboka,Arnoldas Kulboka,10243.0,4.010469569796392,-0.6161904761904762
2018,56,Ray Spalding,Ray Spalding,274.0,2.439332693830263,-0.5047619047619047
2018,57,Kevin Hervey,Kevin Hervey,3033.0,3.4820155764507117,-0.6459383753501401
2018,58,Thomas Welsh,Thomas Welsh (basketball),42924.0,4.632710303832954,-0.6651050420168068
2018,59,George King,"George King (basketball, born 1994)",0.0,0.0,-0.8290003501400559
2018,60,Kostas Antetokounmpo,Kostas Antetokounmpo,58950.0,4.770491176535406,-1.1085084033613446
2019,1,Zion Williamson,Zion Williamson,3546010.0,6.549740078482015,-3.2984126984126974
2019,2,Ja Morant,Ja Morant,707456.0,5.8497000481111785,3.0559523809523803
2019,3,RJ Barrett,RJ Barrett,7159.0,3.8549130223078554,-7.926666666666668
2019,4,De'Andre Hunter,De'Andre Hunter,114204.0,5.05768511813815,-8.50952380952381
2019,5,Darius Garland,Darius Garland,82005.0,4.913845628866194,-0.14190476190476176
2019,6,Jarrett Culver,Jarrett Culver,98202.0,4.992124755236488,-11.833333333333332
2019,7,Coby White,Coby White,142302.0,5.153214055879872,-2.440952380952382
2019,8,Jaxson Hayes,Jaxson Hayes,18089.0,4.257438566859814,3.402857142857142
2019,9,Rui Hachimura,Rui Hachimura,619185.0,5.7918211282441465,-2.8666666666666654
2019,10,Cam Reddish,Cam Reddish,184459.0,5.2659022043017565,-7.453333333333333
2019,11,Cameron Johnson,Cameron Johnson,67897.0,4.831856981912957,4.782857142857143
2019,12,P.J. Washington,P. J. Washington,82803.0,4.918051316687877,1.5999999999999996
2019,13,Tyler Herro,Tyler Herro,63045.0,4.799657537649232,2.029523809523809
2019,14,Romeo Langford,Romeo Langford,91990.0,4.9637453399375815,-5.9314285714285715
2019,15,Sekou Doumbouya,Sekou Doumbouya,48143.0,4.6825421703960055,-7.860952380952381
2019,16,Chuma Okeke,Chuma Okeke,389.0,2.591064607026499,-3.059047619047619
2019,17,Nickeil Alexander-Walker,Nickeil Alexander-Walker,32278.0,4.508920071861401,-5.524761904761905
