draft_year,pick,player,season,season_index,ws
2000,29,Mark Madsen,2004.0,4.0,2.7
2000,30,Marko Jarić,2004.0,4.0,1.5
2002,4,Drew Gooden,2004.0,2.0,1.9
2000,12,Etan Thomas,2004.0,4.0,4.5
2000,14,Mateen Cleaves,2004.0,4.0,0.0
2001,51,Alton Ford,2004.0,3.0,0.1
2001,53,Jarron Collins,2004.0,3.0,4.2
2002,1,Yao Ming,2004.0,2.0,11.4
2000,31,Dan Langhi,2004.0,4.0,-0.1
2003,14,Luke Ridnour,2004.0,1.0,1.2
2001,37,Damone Brown,2004.0,3.0,-0.1
2001,38,Mehmet Okur,2004.0,3.0,5.9
2001,40,Earl Watson,2004.0,3.0,1.8
2001,41,Jamison Brewer,2004.0,3.0,0.0
2001,30,Trenton Hassell,2004.0,3.0,4.0
2001,31,Gilbert Arenas,2004.0,3.0,2.6
2002,5,Nikoloz Tskitishvili,2004.0,2.0,-0.1
2002,6,Dajuan Wagner,2004.0,2.0,-0.1
2002,7,Nenê,2004.0,2.0,6.1
2002,8,Chris Wilcox,2004.0,2.0,2.6
2000,33,Jake Voskuhl,2004.0,4.0,3.3
2000,37,Eddie House,2004.0,4.0,0.7
2000,38,Eduardo Nájera,2004.0,4.0,1.1
2002,3,Mike Dunleavy,2004.0,2.0,5.2
2003,16,Troy Bell,2004.0,1.0,-0.2
2003,17,Žarko Čabarkapa,2004.0,1.0,-0.4
2003,18,David West,2004.0,1.0,2.8
2003,19,Sasha Pavlović,2004.0,1.0,0.9
2003,20,Dahntay Jones,2004.0,1.0,-0.4
2003,21,Boris Diaw,2004.0,1.0,0.8
2003,13,Marcus Banks,2004.0,1.0,0.7
2002,10,Caron Butler,2004.0,2.0,2.1
2002,11,Jared Jeffries,2004.0,2.0,0.6
2002,12,Melvin Ely,2004.0,2.0,0.4
2002,13,Marcus Haislip,2004.0,2.0,0.6
2000,15,Jason Collier,2004.0,4.0,1.2
2003,51,Kyle Korver,2004.0,1.0,1.0
2003,56,Brandon Hunter,2004.0,1.0,0.6
2003,28,Leandro Barbosa,2004.0,1.0,1.9
2003,22,Zoran Planinić,2004.0,1.0,0.7
2003,23,Travis Outlaw,2004.0,1.0,0.0
2000,2,Stromile Swift,2004.0,4.0,4.8
2001,32,Omar Cook,2004.0,3.0,-0.2
2001,35,Brian Scalabrine,2004.0,3.0,1.7
2001,3,Pau Gasol,2004.0,3.0,8.1
2001,4,Eddy Curry,2004.0,3.0,3.0
2001,5,Jason Richardson,2004.0,3.0,5.2
2002,25,Frank Williams,2004.0,2.0,0.3
2002,14,Fred Jones,2004.0,2.0,4.0
2002,15,Boštjan Nachbar,2004.0,2.0,0.8
2002,16,Jiří Welsch,2004.0,2.0,3.6
2002,17,Juan Dixon,2004.0,2.0,1.4
2002,18,Curtis Borchardt,2004.0,2.0,0.1
2002,19,Ryan Humphrey,2004.0,2.0,0.0
2002,9,Amar'e Stoudemire,2004.0,2.0,4.4
2003,15,Reece Gaines,2004.0,1.0,-0.5
2002,20,Kareem Rush,2004.0,2.0,1.5
2002,21,Qyntel Woods,2004.0,2.0,-0.2
2000,9,Joel Przybilla,2004.0,4.0,0.1
2000,10,Keyon Dooling,2004.0,4.0,0.3
2003,7,Kirk Hinrich,2004.0,1.0,4.1
2003,8,T.J. Ford,2004.0,1.0,0.7
2003,9,Mike Sweetney,2004.0,1.0,1.4
2002,22,Casey Jacobsen,2004.0,2.0,2.6
2002,23,Tayshaun Prince,2004.0,2.0,7.5
2003,32,Luke Walton,2004.0,1.0,1.6
