draft_year,pick,player,wiki_title,resolved,views_predraft,months_with_data
2018,47,Svi Mykhailiuk,Sviatoslav Mykhailiuk,True,47632.0,11
2018,48,Keita Bates-Diop,Keita Bates-Diop,True,37332.0,5
2018,49,Chimezie Metu,Chimezie Metu,True,861.0,2
2018,50,Alize Johnson,Alize Johnson,True,5134.0,11
2018,51,Tony Carr,Tony Carr (basketball),True,13539.0,11
2018,52,Vince Edwards,Vincent Edwards (basketball),True,12040.0,10
2018,53,Devon Hall,Devon Hall,True,1414.0,11
2018,54,Shake Milton,Shake Milton,True,8135.0,11
2018,55,Arnoldas Kulboka,Arnoldas Kulboka,True,10243.0,11
2018,56,Ray Spalding,Ray Spalding,True,274.0,1
2018,57,Kevin Hervey,Kevin Hervey,True,3033.0,11
2018,58,Thomas Welsh,Thomas Welsh (basketball),True,42924.0,11
2018,59,George King,"George King (basketball, born 1994)",True,0.0,0
2018,60,Kostas Antetokounmpo,Kostas Antetokounmpo,True,58950.0,11
2019,1,Zion Williamson,Zion Williamson,True,3546010.0,11
2019,2,Ja Morant,Ja Morant,True,707456.0,6
2019,3,RJ Barrett,RJ Barrett,True,7159.0,11
2019,4,De'Andre Hunter,De'Andre Hunter,True,114204.0,11
2019,5,Darius Garland,Darius Garland,True,82005.0,11
2019,6,Jarrett Culver,Jarrett Culver,True,98202.0,5
2019,7,Coby White,Coby White,True,142302.0,7
2019,8,Jaxson Hayes,Jaxson Hayes,True,18089.0,5
2019,9,Rui Hachimura,Rui Hachimura,True,619185.0,11
2019,10,Cam Reddish,Cam Reddish,True,184459.0,11
2019,11,Cameron Johnson,Cameron Johnson,True,67897.0,11
2019,12,P.J. Washington,P. J. Washington,True,82803.0,11
2019,13,Tyler Herro,Tyler Herro,True,63045.0,3
2019,14,Romeo Langford,Romeo Langford,True,91990.0,11
2019,15,Sekou Doumbouya,Sekou Doumbouya,True,48143.0,11
2019,16,Chuma Okeke,Chuma Okeke,True,389.0,1
2019,17,Nickeil Alexander-Walker,Nickeil Alexander-Walker,True,32278.0,9
2019,18,Goga Bitadze,Goga Bitadze,True,49518.0,11
2019,19,Luka Šamanić,Luka Šamanić,True,19965.0,11
2019,20,Matisse Thybulle,Matisse Thybulle,True,31765.0,11
2019,21,Brandon Clarke,Brandon Clarke,True,62691.0,9
2019,22,Grant Williams,Grant Williams (basketball),True,60833.0,11
2019,23,Darius Bazley,Darius Bazley,True,96939.0,10
2019,24,Ty Jerome,Ty Jerome,True,62155.0,4
2019,25,Nassir Little,Nassir Little,True,94048.0,11
2019,26,Dylan Windler,Dylan Windler,True,1597.0,2
2019,27,Mfiondu Kabengele,Mfiondu Kabengele,True,3165.0,2
2019,28,Jordan Poole,Jordan Poole,True,46871.0,11
2019,29,Keldon Johnson,Keldon Johnson,True,35152.0,11
2019,30,Kevin Porter Jr.,Kevin Porter Jr.,True,44425.0,7
2019,31,Nic Claxton,Nic Claxton,True,17.0,1
2019,32,KZ Okpala,KZ Okpala,True,8785.0,5
2019,33,Carsen Edwards,Carsen Edwards,True,256881.0,11
2019,34,Bruno Fernando,Bruno Fernando,True,51521.0,11
2019,35,Didi Louzada,Didi Louzada,True,0.0,0
2019,36,Cody Martin,Cody Martin (basketball),True,25528.0,11
2019,37,Deividas Sirvydis,Deividas Sirvydis,True,7031.0,11
2019,38,Daniel Gafford,Daniel Gafford,True,22453.0,11
2019,39,Alen Smailagić,Alen Smailagić,True,4879.0,4
