Year,Rd,Pk,Tm,Player,College,Yrs,WS,WS/48
2002,4,57,SAS,Randy Holcomb,San Diego State,1,0.0,.150
2002,4,58,SAC,Corsley Edwards,Central Connecticut State University,1,0.1,.026
2003,1,1,CLE,LeBron James,,23,276.8,.218
2003,1,2,DET,Darko Miličić,,10,7.1,.040
2003,1,3,DEN,Carmelo Anthony,Syracuse,19,108.5,.120
2003,1,4,TOR,Chris Bosh,Georgia Tech,13,106.0,.159
2003,1,5,MIA,Dwyane Wade,Marquette,16,120.7,.162
2003,1,6,LAC,Chris Kaman,Central Michigan University,13,24.6,.060
2003,1,7,CHI,Kirk Hinrich,Kansas,13,52.5,.093
2003,1,8,MIL,T.J. Ford,Texas,8,16.9,.068
2003,1,9,NYK,Mike Sweetney,Georgetown,4,7.8,.103
2003,1,10,WAS,Jarvis Hayes,Georgia,7,10.2,.049
2003,1,11,GSW,Mickaël Piétrus,,10,19.7,.079
2003,1,12,SEA,Nick Collison,Kansas,14,44.5,.115
2003,1,13,MEM,Marcus Banks,UNLV,8,6.6,.057
2003,1,14,SEA,Luke Ridnour,Oregon,12,36.0,.080
2003,1,15,ORL,Reece Gaines,Louisville,3,-0.6,-.049
2003,1,16,BOS,Troy Bell,Boston College,1,-0.2,-.326
2003,1,17,PHO,Žarko Čabarkapa,,3,1.1,.035
2003,1,18,NOH,David West,Xavier,15,85.8,.141
2003,1,19,UTA,Sasha Pavlović,,10,7.0,.038
2003,1,20,BOS,Dahntay Jones,Duke,13,9.9,.048
2003,1,21,ATL,Boris Diaw,,14,51.6,.086
2003,1,22,NJN,Zoran Planinić,,3,1.5,.046
2003,1,23,POR,Travis Outlaw,,11,16.5,.061
2003,1,24,LAL,Brian Cook,Illinois,9,10.2,.086
2003,1,25,DET,Carlos Delfino,,8,22.5,.093
2003,1,26,MIN,Ndudi Ebi,,2,0.1,.051
2003,1,27,MEM,Kendrick Perkins,,14,27.9,.078
2003,1,28,SAS,Leandro Barbosa,,14,37.4,.098
2003,1,29,DAL,Josh Howard,Wake Forest,10,38.0,.119
2003,3,30,NYK,Maciej Lampe,,3,-0.2,-.014
2003,3,31,CLE,Jason Kapono,UCLA,9,10.3,.055
2003,3,32,LAL,Luke Walton,Arizona,10,13.5,.067
2003,3,33,MIA,Jerome Beasley,University of North Dakota,1,0.0,-.117
2003,3,34,LAC,Sofoklis Schortsanitis,,,,
2003,3,35,MIL,Szymon Szewczyk,,,,
2003,3,36,CHI,Mario Austin,Mississippi State,,,
2003,3,37,ATL,Travis Hansen,BYU,1,0.2,.019
2003,3,38,WAS,Steve Blake,Maryland,13,29.1,.067
2003,3,39,NYK,Slavko Vraneš,,1,0.0,-.371
2003,3,40,GSW,Derrick Zimmerman,Mississippi State,1,0.0,.004
